business_id,sector,county,quarter,business_age_years,num_employees,payroll_cost_kes,owner_education_level,monthly_marketing_spend_kes,advertising_budget_kes,avg_daily_foot_traffic,online_presence_score,loan_amount_kes,interest_rate_pct,inflation_rate_pct,competitor_density,customer_satisfaction_score,monthly_revenue_kes
1,Services,Nakuru,Q3,10.7,8,170390.0,Bachelors,12268.0,11859.0,34.9,57.3,0.0,8.99,6.55,5,3.4,4581022.0
2,Hospitality,Other,Q4,4.7,8,180398.0,Diploma,59536.0,55943.0,25.7,60.8,149486.0,17.77,7.37,8,4.2,1863102.0
3,Services,Mombasa,Q3,12.8,10,276286.0,Secondary,16910.0,17789.0,54.2,59.8,200664.0,19.55,6.26,5,4.0,2739637.0
4,Manufacturing,Mombasa,Q3,3.0,16,336298.0,Diploma,28642.0,28684.0,64.4,33.3,0.0,16.77,6.5,3,2.9,3321994.0
5,Retail,Other,Q2,7.4,9,254711.0,Secondary,33122.0,40272.0,92.9,58.4,0.0,10.03,6.93,3,3.8,1430695.0
6,Technology,Kisumu,Q1,3.4,6,191035.0,Certificate,36473.0,36067.0,,75.2,352491.0,16.01,6.54,9,4.1,2561331.0
7,Services,Eldoret,Q2,6.6,7,224749.0,Bachelors,15177.0,15984.0,65.5,66.8,592465.0,13.94,7.12,2,4.0,2216215.0
8,Services,Mombasa,Q3,3.7,11,340936.0,Diploma,20518.0,21859.0,23.1,64.1,0.0,16.02,6.57,11,,2496788.0
9,Retail,Nairobi,Q1,5.5,9,147613.0,Bachelors,26554.0,30497.0,31.8,91.1,0.0,21.72,6.88,8,2.9,3334214.0
10,Hospitality,Eldoret,Q1,4.1,12,412495.0,Diploma,15255.0,14804.0,76.5,58.7,350763.0,18.03,6.89,11,3.6,1466294.0
11,Hospitality,Nairobi,Q2,8.6,3,52961.0,Doctorate,55744.0,51342.0,110.4,36.5,91571.0,17.34,6.81,3,1.9,2691317.0
12,Technology,Nairobi,Q4,7.6,9,242146.0,Secondary,103872.0,120654.0,,36.5,0.0,15.35,7.2,7,4.6,2288621.0
13,Manufacturing,Nakuru,Q3,3.3,6,209540.0,Secondary,32445.0,34277.0,12.0,58.9,0.0,16.83,6.8,5,3.8,1607694.0
14,Services,Eldoret,Q3,3.3,9,279041.0,Primary,32215.0,35913.0,26.7,23.4,310245.0,13.19,6.34,7,3.6,1000222.0
15,Hospitality,Other,Q3,2.8,7,132845.0,Diploma,53059.0,59349.0,63.7,48.2,127801.0,17.28,6.59,4,3.6,1232912.0
16,Retail,Nairobi,Q1,2.3,7,155170.0,Diploma,45495.0,51519.0,28.6,65.2,592396.0,14.88,6.7,7,4.1,1384405.0
17,Agriculture,Nairobi,Q2,9.0,9,257352.0,Bachelors,25702.0,26210.0,26.6,80.8,0.0,12.87,7.11,6,4.5,3363338.0
18,Retail,Other,Q1,2.6,8,248460.0,Secondary,76620.0,76474.0,23.6,21.0,0.0,18.11,6.71,9,3.5,1611758.0
19,Services,Nairobi,Q4,7.0,8,165824.0,Primary,15883.0,14140.0,170.8,57.2,0.0,8.36,7.48,4,4.0,3435616.0
20,Manufacturing,Nairobi,Q4,3.8,12,401108.0,Diploma,42639.0,41377.0,20.0,53.5,0.0,13.76,7.42,11,4.0,5653650.0
21,Services,Nairobi,Q2,10.5,10,178362.0,Doctorate,20382.0,21503.0,47.5,55.8,121838.0,17.46,7.03,4,1.9,2659311.0
22,Hospitality,Kisumu,Q2,16.9,6,193465.0,Secondary,35236.0,35021.0,63.9,58.1,0.0,19.42,6.94,4,3.1,2430108.0
23,Technology,Other,Q2,0.2,12,263031.0,Secondary,18795.0,18019.0,,54.3,0.0,17.01,7.14,5,4.0,1949251.0
24,Services,Eldoret,Q4,2.9,9,265818.0,Secondary,74970.0,79021.0,15.9,85.6,0.0,13.35,7.22,7,4.7,2333567.0
25,Services,Nakuru,Q2,3.8,12,334545.0,Certificate,54846.0,63480.0,213.0,82.4,0.0,15.34,7.16,12,,2496788.0
26,Retail,Nairobi,Q4,4.8,7,260100.0,Secondary,33952.0,35498.0,119.6,100.0,0.0,16.43,7.79,6,2.7,6561496.0
27,Agriculture,Mombasa,Q2,4.6,13,396634.0,Secondary,46015.0,44145.0,54.3,54.8,342759.0,20.49,7.3,6,4.5,2361937.0
28,Retail,Mombasa,Q3,1.9,5,117795.0,Diploma,12322.0,14193.0,31.3,46.0,462188.0,18.45,6.61,6,4.5,1550923.0
29,Retail,Nairobi,Q3,17.2,8,276439.0,Secondary,6776.0,6695.0,36.8,33.7,95630.0,18.47,6.49,7,4.0,2347312.0
30,Manufacturing,Nairobi,Q2,4.7,4,167956.0,Certificate,15390.0,17981.0,84.3,43.6,318536.0,15.71,6.81,7,2.1,1901164.0
31,Services,Nairobi,Q4,7.6,9,283928.0,Primary,73561.0,75690.0,108.9,70.7,0.0,12.07,7.2,5,3.3,5490424.0
32,Technology,Nairobi,Q3,7.8,5,139646.0,Bachelors,18738.0,19830.0,,74.1,53674.0,11.0,6.69,5,3.8,3983456.0
33,Hospitality,Kisumu,Q4,1.5,6,142342.0,Certificate,48068.0,56474.0,95.6,69.9,131035.0,14.54,7.28,6,3.5,3339941.0
34,Hospitality,Nakuru,Q4,4.3,6,150128.0,Secondary,21860.0,20589.0,40.6,40.4,237520.0,17.74,7.3,7,2.0,1336772.0
35,Agriculture,Nairobi,Q1,9.0,9,295880.0,Primary,22926.0,22147.0,94.9,40.5,80413.0,13.89,6.78,10,3.5,1127305.0
36,Retail,Mombasa,Q1,13.3,10,237814.0,Diploma,18954.0,19407.0,38.4,98.0,27444.0,17.33,6.64,6,3.0,5052886.0
37,Retail,Eldoret,Q3,4.3,8,233858.0,Bachelors,17936.0,18632.0,56.4,36.7,216371.0,12.96,6.32,5,4.2,2346115.0
38,Agriculture,Eldoret,Q2,1.8,5,175368.0,Primary,45700.0,57645.0,179.3,86.2,263504.0,13.45,7.09,6,4.1,1731408.0
39,Retail,Other,Q2,3.5,7,223641.0,Secondary,18167.0,17785.0,71.2,63.9,435346.0,20.01,6.97,6,4.1,2388823.0
40,Manufacturing,Mombasa,Q1,4.2,3,70933.0,Secondary,17764.0,16798.0,102.7,38.9,0.0,17.95,6.69,6,3.4,1660594.0
41,Hospitality,Other,Q2,4.1,13,555253.0,Diploma,25929.0,25284.0,15.0,28.9,0.0,14.52,6.98,5,3.7,1947239.0
42,Services,Nairobi,Q2,2.8,5,193247.0,Masters,20554.0,21964.0,69.6,39.8,880846.0,12.84,7.18,7,3.6,1728800.0
43,Manufacturing,Mombasa,Q2,1.6,5,155469.0,Certificate,13246.0,14430.0,12.5,64.2,0.0,18.54,7.07,5,,2496788.0
44,Hospitality,Nairobi,Q3,2.2,10,350773.0,Secondary,42250.0,41973.0,47.6,35.0,455233.0,18.3,6.47,6,3.3,1811162.0
45,Services,Mombasa,Q3,3.6,8,209132.0,Bachelors,30493.0,32069.0,56.5,89.2,0.0,17.55,6.59,6,3.1,2524732.0
46,Services,Mombasa,Q2,8.9,6,172860.0,Bachelors,17235.0,20779.0,45.3,50.4,0.0,14.93,7.08,3,4.5,3692496.0
47,Hospitality,Nairobi,Q1,11.2,7,191847.0,Secondary,13280.0,13982.0,93.1,70.4,0.0,12.0,6.76,12,4.4,2300301.0
48,Hospitality,Eldoret,Q3,6.0,14,294520.0,Secondary,53785.0,57855.0,54.0,68.6,683553.0,15.45,6.57,8,4.1,4608069.0
49,Manufacturing,Nairobi,Q1,2.3,10,399004.0,Certificate,8940.0,10738.0,98.2,90.7,93864.0,20.0,6.9,8,5.0,2722080.0
50,Retail,Nairobi,Q2,3.7,6,122587.0,Bachelors,38451.0,38227.0,65.5,45.4,0.0,12.59,7.08,6,,2496788.0
51,Retail,Nairobi,Q2,0.8,12,357286.0,Diploma,3909.0,3866.0,67.2,57.3,0.0,15.65,7.11,7,4.7,2641668.0
52,Retail,Mombasa,Q1,13.4,11,323615.0,Diploma,27896.0,28243.0,82.4,24.2,0.0,20.73,6.68,6,3.1,3872381.0
53,Services,Nairobi,Q2,3.3,9,286761.0,Bachelors,28485.0,28707.0,76.0,57.3,330892.0,14.53,6.97,5,4.4,4264938.0
54,Manufacturing,Mombasa,Q2,7.2,14,350964.0,Secondary,7491.0,6774.0,65.9,80.1,0.0,15.09,7.22,8,3.8,7521152.0
55,Manufacturing,Nairobi,Q4,10.7,3,82527.0,Secondary,8106.0,8601.0,80.7,59.8,0.0,11.18,7.47,5,3.3,2222700.0
56,Services,Eldoret,Q4,15.8,7,202615.0,Primary,29219.0,31187.0,57.6,100.0,0.0,17.49,7.47,5,3.1,3281299.0
57,Hospitality,Other,Q1,9.6,12,372041.0,Bachelors,7872.0,8148.0,118.2,66.4,0.0,13.13,6.84,10,3.9,2340807.0
58,Agriculture,Mombasa,Q3,4.1,15,391130.0,Diploma,61594.0,65893.0,73.3,43.1,104330.0,10.53,6.51,7,4.4,4737629.0
59,Retail,Nakuru,Q3,7.9,9,253857.0,Secondary,17416.0,18647.0,85.9,65.0,42122.0,12.45,6.6,8,4.8,3378155.0
60,Retail,Other,Q2,15.5,5,105685.0,Primary,68839.0,65033.0,16.6,22.8,0.0,16.17,7.24,6,4.2,2184100.0
61,Manufacturing,Other,Q2,3.3,7,286289.0,Bachelors,59074.0,63391.0,7.7,37.4,0.0,10.44,7.24,8,,2496788.0
62,Agriculture,Kisumu,Q4,1.5,12,370278.0,Bachelors,23639.0,25877.0,99.1,28.2,276739.0,11.07,7.38,4,3.5,1761694.0
63,Agriculture,Other,Q2,2.8,9,298680.0,Diploma,29933.0,27605.0,20.2,55.4,62416.0,17.29,7.31,2,3.9,1029181.0
64,Services,Other,Q1,7.5,8,185056.0,Secondary,51607.0,60227.0,121.4,53.7,0.0,15.27,6.83,3,2.5,1640393.0
65,Manufacturing,Eldoret,Q2,4.1,7,159798.0,Bachelors,10383.0,9875.0,133.8,81.5,104527.0,12.58,7.19,4,,2496788.0
66,Agriculture,Mombasa,Q2,5.2,8,268506.0,Bachelors,18712.0,17944.0,122.9,52.8,0.0,14.47,7.14,4,4.0,2175063.0
67,Agriculture,Nairobi,Q2,8.4,6,178569.0,Diploma,67692.0,72170.0,83.1,32.9,0.0,21.06,7.14,3,5.0,2954611.0
68,Hospitality,Nairobi,Q1,2.7,13,420419.0,Diploma,47577.0,51991.0,14.2,89.3,88050.0,19.6,6.69,2,3.7,2946894.0
69,Retail,Mombasa,Q1,5.0,7,143394.0,Bachelors,21428.0,23832.0,13.9,0.0,0.0,15.16,6.91,4,4.7,1982073.0
70,Hospitality,Mombasa,Q4,3.7,10,382238.0,Masters,30126.0,32984.0,22.9,55.8,128625.0,18.11,7.83,7,3.3,1754445.0
71,Retail,Mombasa,Q1,15.1,8,253123.0,Diploma,14995.0,15122.0,39.7,59.8,257942.0,15.89,6.74,10,5.0,4231152.0
72,Hospitality,Kisumu,Q3,9.4,11,289502.0,Certificate,20017.0,21191.0,108.6,54.8,0.0,9.82,6.51,3,4.9,2640885.0
73,Services,Kisumu,Q3,4.2,9,273430.0,Certificate,38024.0,38962.0,50.5,66.0,194736.0,9.25,6.43,3,4.6,2439850.0
74,Retail,Other,Q3,4.0,12,407990.0,Bachelors,20071.0,21354.0,125.4,57.4,196045.0,12.59,6.43,5,3.7,2425733.0
75,Retail,Nairobi,Q4,16.2,6,121266.0,Diploma,42355.0,44705.0,44.6,66.0,0.0,10.46,7.63,9,3.5,2003866.0
76,Hospitality,Nairobi,Q1,15.3,8,301388.0,Primary,7878.0,7954.0,230.7,41.8,45085.0,16.37,6.7,10,3.4,7306131.0
77,Hospitality,Eldoret,Q2,7.5,12,396235.0,Secondary,37717.0,38556.0,144.6,22.9,441423.0,13.74,7.03,9,2.9,2487943.0
78,Manufacturing,Other,Q1,5.3,7,149931.0,Bachelors,11484.0,10356.0,48.2,54.0,566632.0,16.86,6.56,3,4.1,2408716.0
